ProductID,ProductName,current_price,competitor_price,rating,category
PROD-001,Wireless Mouse,1500,1156.0,4.1,Electronics
PROD-002,Wireless Mouse v2,1318.0,1113.0,4.2,Electronics
PROD-003,USB Hub 4-Port,800,935.0,3.9,Accessories
PROD-004,USB Hub 4-Port v2,931.0,1182.0,3.7,Accessories
PROD-005,Mechanical Keyboard,3500,3225.0,4.6,Electronics
PROD-006,Mechanical Keyboard v2,3557.0,3002.0,4.3,Electronics
PROD-007,Mechanical Keyboard v3,4109.0,3978.0,4.6,Electronics
PROD-008,Mechanical Keyboard v4,3015.0,2932.0,4.5,Electronics
PROD-009,27-inch Monitor,18000,18946.0,4.3,Electronics
PROD-010,27-inch Monitor v2,20472.0,22971.0,4.2,Electronics
PROD-011,27-inch Monitor v3,18853.0,20007.0,4.5,Electronics
PROD-012,27-inch Monitor v4,19565.0,20677.0,4.2,Electronics
PROD-013,Laptop Stand,1200,1164.0,4.1,Accessories
PROD-014,Laptop Stand v2,1324.0,1258.0,4.4,Accessories
PROD-015,Laptop Stand v3,1043.0,981.0,4.3,Accessories
PROD-016,Laptop Stand v4,1163.0,1152.0,4.4,Accessories
PROD-017,USB-C Cable 2m,350,445.0,3.6,Accessories
PROD-018,USB-C Cable 2m v2,375.0,510.0,3.6,Accessories
PROD-019,Webcam 1080p,2500,2173.0,4.1,Electronics
PROD-020,Webcam 1080p v2,2503.0,2266.0,4.2,Electronics
PROD-021,Webcam 1080p v3,2200.0,1973.0,4.3,Electronics
PROD-022,Noise-Cancelling Earbuds,4500,4611.0,4.5,Electronics
PROD-023,Noise-Cancelling Earbuds v2,4423.0,4716.0,4.3,Electronics
PROD-024,SSD 500GB,4200,3895.0,4.4,Storage
PROD-025,SSD 500GB v2,3578.0,3225.0,4.3,Storage
PROD-026,Ergonomic Chair,12000,12937.0,4.6,Office
PROD-027,Ergonomic Chair v2,12010.0,13089.0,4.6,Office
PROD-028,Desk Lamp LED,900,1085.0,3.8,Office
PROD-029,Desk Lamp LED v2,794.0,1008.0,3.7,Office
PROD-030,Desk Lamp LED v3,886.0,1071.0,3.7,Office
PROD-031,Desk Lamp LED v4,792.0,1054.0,4.0,Office
PROD-032,Monitor Riser,600,558.0,3.7,Office
PROD-033,Monitor Riser v2,654.0,527.0,3.6,Office
PROD-034,HDMI Cable 1.8m,250,327.0,3.3,Accessories
PROD-035,HDMI Cable 1.8m v2,251.0,347.0,3.3,Accessories
